12桁	帳簿	直前のAIND	本文冒頭
466788290294	$$$	AIND-D01757	أحمد الشهاب الطولوني كبير المهندسين في ابن أحمد بن محمد بن علي بن عبد الله بن علي .
743696240375	$$$	AIND-D01757	أحمد الشهاب العدوي ، في ابن محمود بن عبد السلام بن محمود .
863061937920	$$$	AIND-D01763	أحمد الشهاب القمني المالكي في ابن محمد بن علي بن عبد الهادي .
356083830538	$$$	AIND-D01767	أحمد الشهاب المنيجي والد أبي القسم ، مضى في ابن محمد .
839531892518	$$$	AIND-D01777	أحمد بهاء الدين الحواري الدمشقي . مضى في ابن أبي بكر .
158544695090	$$$	AIND-D01783	أحمد بن الأكرم . هو أحمد المشرقي يأتي [= AIND-D01831] .
402749656889	$$$	AIND-D01789	أحمد بن العجيل . مضى في المكنيين بأبي العباس .
629032357700	$$$	AIND-D01789	أحمد بن عروس ، مضى في المكنيين بأبي الطرار .
946708942662	$$$	AIND-D01789	أحمد بن فريفر ، في المكنيين بأبي العباس .
404628705096	$$$	AIND-D01789	أحمد بن الكردي في ابن إبراهيم .
113405595478	$$$	AIND-D01791	أحمد الأقطع . يأتي في أحمد الدوادار قريبا .
868581642078	$$$	AIND-D01792	أحمد خازوق في الملقبين بشهاب الدين الحلبي .
766060269407	$$$	AIND-D01792	أحمد ذويبة ، يأتي في أحمد الصامت قريبا .
202404532068	$$$	AIND-D01794	أحمد النشار . في الملقبين بالشهاب المدني .
405933133679	$$$	AIND-D01795	أحمد الأذرعي في ابن إبراهيم .
262991253359	$$$	AIND-D01795	أحمد الأريحي إمام مقام الحنفية بمكة نيابة قرأ عليه الديروطي القراءات وهو ابن سعد بن مسلم ، مضى .
780434149239	$$$	AIND-D01795	أحمد البامي ، في ابن محمد بن أحمد بن محمد بن أحمد .
158565666680	$$$	AIND-D01795	أحمد البرنقي ، في ابن محمد .
668790165399	$$$	AIND-D01800	أحمد حطيبة أحد المجاذيب يأتي في حطيبة .
864395726747	$$$	AIND-D01802	أحمد الخشاب المجذوب مضى في ابن محمد بن صالح .
247799484319	$$$	AIND-D01802	أحمد الخواص هو ابن عبادة بن شعيب .
826953174949	$$$	AIND-D01807	أحمد الزاهد اثنان ابن أبي بكر بن أحمد وابن محمد بن سليمان .
459293069221	$$$	AIND-D01807	أحمد الزواوي اثنان أحدهما المقيم بالأزهر وهو ابن صاح بن خلاسة والثاني ابن سليمان بن نصر الله .
805532864423	$$$	AIND-D01807	أحمد الذروي في ابن محمد بن أحمد بن علي .
654714081190	$$$	AIND-D01807	أحمد السخاوي جماعة ابن محمد بن زين أو مونن وابن محمد بن عبد الرحمن بن أبي بكر وابن قاضي المالكية بطيبة شمس الدين محمد بن
828890943400	$$$	AIND-D01807	أحمد السطوحي . في ابن خضر .
757898153899	$$$	AIND-D01807	أحمد السعودي الحنفي في ابن يوسف بن أحمد .
676469936053	$$$	AIND-D01813	أحمد الشغري جماعة ابن محمد بن محمد بن عمر وابن .
930749616061	$$$	AIND-D01815	أحمد الصابوني والد العلاء في ابن محمد بن سليمان .
729104256958	$$$	AIND-D01817	أحمد الصيرفي العجمي نزيل مكة ، مات سنة إحدى وستين ومضى في ابن عبد الله ابن عمر بن أحمد .
741775249344	$$$	AIND-D01817	أحمد الصعيدي كمونة مضى قريبا .
504314728390	$$$	AIND-D01817	أحمد الصندلي في ابن محمد بن حسن بن أبي الحسن .
469527171016	$$$	AIND-D01817	أحمد الصنهاجي المغربي بالملقبين بالشهاب .
483221573576	$$$	AIND-D01817	أحمد الطوخي جماعة : في ابن محمد ابن عبد الرحمن بن رجب وابن محمد بن قاسم وابن أحمد بن فخر الدين عثمان .
975679000540	$$$	AIND-D01824	أحمد القروي اثنان مغربيان قائد الركب وحلولو .
877754585060	$$$	AIND-D01827	أحمد القليجي : اثنان حنفيان أحدهما ابن محمد بن عمر بن علي والآخر ابن عبد الله بن محمد بن عمر ابن أخي الأول .
338199318502	$$$	AIND-D01827	أحمد القوصي اثنان اتفقا في الأب والجد أيضا فما ابنا محمد بن محمد .
927855546347	$$$	AIND-D01828	أحمد الكلوتاتي اثنان : ابن عثمان بن محمد بن إبراهيم بن عبد الله وابن محمد بن عبد اللطيف .
814642892783	$$$	AIND-D01828	أحمد المتبولي اثنان كل منهما اسم أبيه موسى أقدمهما اسم جده نصير والآخر اسم جده أحمد بن عبد الرحمن .
380763115525	$$$	AIND-D01835	أحمد المكيني ربيب البلقيني في ابن محمد بن بركوت .
981173538825	$$$	AIND-D01836	أحمد النحريري المالكي . في ابن عبد الله .
220909801487	$$$	AIND-D01837	أحمد الهيثمي ، في ابن حسن بن محمد .
736633032769	$$$	AIND-D01857	أركماس الأشقر ، هو الذي قبله .
658577035340	$$$	AIND-D01862	أركماس المؤيدي هو من صفر الماضي قريبا .
415626170446	$$$	AIND-D01863	أركماس اليشبكي . هو الطويل :
299989209171	$$$	AIND-D01863	أركماس الجاموس هو النوروز قبله .
598346829912	$$$	AIND-D01865	أرنبغا الحافظي ، في الذي بعده .
811379724384	$$$	AIND-D01869	845 أزبك من قايتباي ويعرف بجحا . مضى قريبا في أزبك جحا .
659235541104	$$$	AIND-D01871	أزبك خاص خرجي ، يأتي قريبا في أزبك الظاهري برقوق .
233035534454	$$$	AIND-D01873	أزبك الظاهري برقوق الدوادار ، مضى قريبا .
528020934782	$$$	AIND-D01875	أزبك الظاهري جقمق هو أزبك الخازندار .
790869577893	$$$	AIND-D01888	ازدمر الظاهري برقوق . هو ازدمر أخو إينال .
987913785514	$$$	AIND-D01891	أزدمر المسرطن . تقدم قريبا .
527681196205	$$$	AIND-D01891	أزدمر من علي جان . تقدم قريبا .
984566730936	$$$	AIND-D01896	إسحاق بن أسعد بن إبراهيم النجم القرمي . مضى قريبا في ابن إبراهيم بن إسماعيل .
814584172743	$$$	AIND-D01903	إسحاق النجم القرمي قيل أنه ابن إبراهيم بن إسماعيل أو بن سعد بن إبراهيم وهو أصح مضى
327264768225	$$$	AIND-D01910	أسلم بالسين أو بالصاد هو أحمد بن إسحاق بن عاصم بن محمد بن عبد الله . مضى .
965780443372	$$$	AIND-D01913	إسماعيل بن إبراهيم بن جوشن سيأتي فيمن جده محمد .
339159814385	$$$	AIND-D01917	إسماعيل بن إبراهيم بن شرف . يأتي فيمن جده محمد بن علي بن شرف قريبا .
305261216747	$$$	AIND-D01920	إسماعيل بن إبراهيم بن علي بن شرف . يأتي قريبا .
387234926859	$$$	AIND-D01929	إسماعيل بن إبراهيم الجبرتي . فيمن جده عبد الصمد .
