AIND	現状	REF化日(commit)	commit	型	転送先	corpus帳簿	見出し	原文(先頭120字)
AIND-D05629	REF	2026-09-03	76772dd	転送指示あり	#AIND-D05447	$	علي بن محمد الزبيدي الشافعي	علي بن محمد الزبيدي الشافعي . فيمن جده عبد العلي بن قحر .
AIND-D05630	REF	2026-09-03	76772dd	転送指示あり	#AIND-D05371	$	علي بن محمد السطيح	علي بن محمد السطيح . فيمن جده أحمد بن عبد الله بن حسن .
AIND-D05633	REF	2026-09-03	76772dd	転送指示あり	#AIND-D05432	$	علي بن محمد الطائي	علي بن محمد الطائي ، فيمن جده سعد بن محمد بن عثمان .
AIND-D05638	REF	2026-09-03	76772dd	転送指示あり	#AIND-D05462	$	علي بن محمد الناسخ الكاتب	علي بن محمد الناسخ الكاتب . مضى فيمن جده عبد النصير .
AIND-D05653	REF	2026-09-03	76772dd	転送指示あり	#AIND-D05273	$	علي بن المصلية	علي بن المصلية . هو ابن عبد الوهاب بن أبي بكر .
AIND-D05663	REF	2026-09-03	76772dd	転送指示あり	#AIND-D05661	$	علي بن موسى بن قريش المكي	علي بن موسى بن قريش المكي . فيمن جده علي قريبا
AIND-D05687	REF	2026-09-03	76772dd	転送指示あり	#AIND-D05701	$	علي بن يوسف بن أبي البركات الملطي	علي بن يوسف بن أبي البركات الملطي . فيمن جده موسى بن محمد .
AIND-D05702	REF	2026-08-21	1a65014	転送指示あり	#AIND-D05686	$$$	علي بن يوسف الخواجا نور الدين البهلوان	علي بن يوسف الخواجا نور الدين البهلوان . مضى فيمن جده إسماعيل .
AIND-D05708	REF	2026-09-03	76772dd	転送指示あり	#AIND-D05073	$	علي نور الدين بن بطيخ المقري	علي نور الدين بن بطيخ المقري . ذكرته في الموحدة من الآباء .
AIND-D05709	REF	2026-09-03	76772dd	転送指示あり	#AIND-D05429	$	علي بن محمد بن خضر بن أيوب العلاء المحلي الحنفي	علي العلاء بن الجندي المحلي الحنفي نقيب الشافعي . في ابن محمد بن خضر بن أيوب .
